"","Country Code","Year","Count"
"941","BEL",2015,11274196
"942","BEL",1982,9856303
"943","BEL",1989,9937697
"944","BEL",1960,9153489
"945","BEL",2007,10625700
"946","BEL",1995,10136811
"947","BEL",2016,11331422
"948","BEL",1963,9289770
"949","BEL",1966,9527807
"950","BEL",2002,10332785
"951","BEL",1980,9859242
"952","BEL",2012,11106932
"953","BEL",1999,10226419
"954","BEL",1976,9818227
"955","BEL",1971,9673162
"956","BEL",1992,10045158
"957","BEL",1985,9858308
"958","BEL",1970,9655549
"959","BEL",2014,11209057
"960","BEL",1990,9967379
"961","BEL",1972,9711115
"962","BEL",2005,10478617
"963","BEL",1984,9855372
"964","BEL",2013,11159407
"965","BEL",1969,9646032
"966","BEL",1961,9183948
"967","BEL",1988,9901664
"968","BEL",2000,10251250
"969","BEL",1968,9618756
"970","BEL",1973,9741720
"971","BEL",1979,9848382
"972","BEL",2010,10895586
"973","BEL",1962,9220578
"974","BEL",1994,10115603
"975","BEL",1974,9772419
"976","BEL",2004,10421137
"977","BEL",1978,9839534
"978","BEL",2001,10286570
"979","BEL",1981,9858982
"980","BEL",2009,10796493
"981","BEL",1987,9870234
"982","BEL",2008,10709973
"983","BEL",1986,9861823
"984","BEL",1991,10004486
"985","BEL",2003,10376133
"986","BEL",1993,10084475
"987","BLZ",1999,238988
"988","BLZ",2004,276504
"989","BLZ",1990,187552
"990","BLZ",1993,197622
"991","BLZ",1994,201680
"992","BLZ",2001,255063
"993","BLZ",1962,97384
"994","BLZ",1991,191128
"995","BLZ",1974,131307
"996","BLZ",1972,127150
"997","BLZ",1978,138965
"998","BLZ",1980,144155
"999","BLZ",1971,124793
"1000","BLZ",2012,338000
"1001","BLZ",2000,247315
"1002","BLZ",1989,183469
"1003","BLZ",1981,147566
"1004","BLZ",2005,283800
"1005","BLZ",1995,206963
"1006","BLZ",1998,230244
"1007","BLZ",1982,151500
"1008","BLZ",1967,112692
"1009","BLZ",1960,92064
"1010","BLZ",2014,353366
"1011","BLZ",1963,100164
